gender,department,jobtitle,count
Female,Marketing,"Research Associate",2
Female,Marketing,"Senior Editor",63
Female,Marketing,"VP Marketing",11
Female,Marketing,"Web Designer I",1
Female,Marketing,"Web Designer III",2
Female,"Product Management","Assistant Manager",10
Female,"Product Management","Business Analyst",24
Female,"Product Management","Chief Design Engineer",6
Female,"Product Management","Design Engineer",7
Female,"Product Management","General Manager",8
Female,"Product Management","Product Engineer",11
Female,"Product Management","Project Manager",122
Female,"Product Management","Quality Control Specialist",18
Female,"Product Management","Quality Engineer",8
Female,"Product Management","Senior Quality Engineer",16
Female,"Product Management","VP Product Management",16
Female,"Research and Development","Administrative Assistant II",1
Female,"Research and Development","Business Analyst",4
Female,"Research and Development","Chief Design Engineer",2
Female,"Research and Development","Design Engineer",1
Female,"Research and Development","Engineer III",1
Female,"Research and Development","Executive Secretary",1
Female,"Research and Development","Information Systems Manager",1
Female,"Research and Development",Operator,99
Female,"Research and Development","Quality Control Specialist",36
Female,"Research and Development","Quality Engineer",1
Female,"Research and Development","Research Assistant I",95
Female,"Research and Development","Research Associate",76
Female,"Research and Development","Senior Quality Engineer",38
Female,"Research and Development","Statistician I",1
Female,"Research and Development","Statistician II",1
Female,"Research and Development","Structural Analysis Engineer",8
Female,"Research and Development","Structural Engineer",97
Female,"Research and Development","VP Quality Control",7
Female,Sales,"Account Executive",220
Female,Sales,"Account Manager",93
Female,Sales,"Customer Success Manager",73
Female,Sales,"Director of Sales",4
Female,Sales,"Pre-Sales Consultant",86
Female,Sales,"Relationshiop Manager",80
Female,Sales,"Sales Associate",2
Female,Sales,"Sales Representative",2
Female,Sales,"Senior Sales Associate",4
Female,Sales,"Solutions Engineer",74
Female,Sales,"Solutions Engineer Manager",87
Female,Sales,"VP Sales",4
Female,Services,"General Manager",7
Female,Services,Operator,7
Female,Services,"Research Associate",6
Female,Services,"Service Coordinator",146
Female,Services,"Service Manager",145
Female,Services,"Service Tech",138
Female,Services,"Service Tech II",133
Female,Services,"Service Tech III",138
Female,Support,"Assistant Manager",1
Female,Support,"Automation Specialist I",2
Female,Support,"Automation Specialist II",5
Female,Support,"Automation Specialist III",4
Female,Support,"Automation Specialist IV",5
Female,Support,"Community Outreach Specialist",15
Female,Support,"Desktop Support Technician",120
Female,Support,"Help Desk Operator",42
Female,Support,"Help Desk Technician",148
Female,Support,"Support Staff",21
Female,Support,"Support Staff II",22
Female,Support,"Support Staff III",6
Female,Training,"Administrative Assistant I",71
Female,Training,"Administrative Assistant II",12
Female,Training,"Assistant Trainer",75
Female,Training,"Content Developer",20
Female,Training,"Content Developer II",17
Female,Training,"Content Developer III",20
Female,Training,"Junior Trainer",80
Female,Training,"Senior Trainer",72
Female,Training,"Support Staff",17
Female,Training,"Trainer I",83
Female,Training,"Trainer II",80
Female,Training,"Trainer III",72
Female,Training,"Training Manager",79
Male,Accounting,"Accountant I",39
Male,Accounting,"Accountant II",34
Male,Accounting,"Accountant III",35
Male,Accounting,"Accountant IV",42
Male,Accounting,"Accounting Assistant I",39
Male,Accounting,"Accounting Assistant II",39
Male,Accounting,"Accounting Assistant III",27
Male,Accounting,"Accounting Assistant IV",41
Male,Accounting,Actuary,15
Male,Accounting,"Administrative Assistant I",3
Male,Accounting,"Administrative Assistant II",1
Male,Accounting,"Administrative Assistant III",2
Male,Accounting,"Administrative Assistant IV",4
Male,Accounting,"Administrative Officer",13
Male,Accounting,"Budget/Accounting Analyst I",64
Male,Accounting,"Budget/Accounting Analyst II",85
Male,Accounting,"Budget/Accounting Analyst III",70
Male,Accounting,"Budget/Accounting Analyst IV",79
Male,Accounting,"Cost Accountant",134
Male,Accounting,"Financial Advisor",11
Male,Accounting,"Financial Analyst",26
Male,Accounting,"Payment Adjustment Coordinator",15
Male,Accounting,"Senior Cost Accountant",138
Male,Accounting,"Senior Financial Analyst",18
Male,Accounting,"Staff Accountant I",218
Male,Accounting,"Staff Accountant II",35
Male,Accounting,"Staff Accountant III",41
Male,Accounting,"Staff Accountant IV",40
Male,Accounting,"Structural Engineer",13
Male,Accounting,"Tax Accountant",157
Male,Accounting,"VP Accounting",38
Male,Auditing,"Internal Auditor",25
Male,"Business Development","Business Analyst",265
Male,"Business Development","Business Development Manager",4
Male,"Business Development","Human Resources Analyst II",1
Male,"Business Development","Research Assistant I",132
Male,"Business Development","Research Assistant II",326
Male,"Business Development","Research Assistant III",6
Male,Engineering,"Administrative Assistant I",2
Male,Engineering,"Administrative Assistant II",1
Male,Engineering,"Administrative Assistant III",3
Male,Engineering,"Administrative Assistant IV",1
Male,Engineering,"Administrative Officer",13
Male,Engineering,"Analog Circuit Design manager",23
Male,Engineering,"Analyst Programmer",160
Male,Engineering,"Assistant Manager",6
Male,Engineering,"Associate Professor",1
Male,Engineering,"Automation Specialist I",12
Male,Engineering,"Automation Specialist II",11
Male,Engineering,"Automation Specialist III",2
Male,Engineering,"Automation Specialist IV",4
Male,Engineering,"Business Analyst",23
Male,Engineering,"Business Systems Development Analyst",149
Male,Engineering,"Chief Design Engineer",30
Male,Engineering,"Computer Systems Analyst I",39
Male,Engineering,"Computer Systems Analyst II",45
Male,Engineering,"Computer Systems Analyst III",34
Male,Engineering,"Computer Systems Analyst IV",37
Male,Engineering,"Data Coordiator",161
Male,Engineering,"Data Visualization Specialist",206
Male,Engineering,"Database Administrator I",42
Male,Engineering,"Database Administrator II",44
Male,Engineering,"Database Administrator III",33
Male,Engineering,"Database Administrator IV",30
Male,Engineering,"Design Engineer",11
Male,Engineering,"Developer I",26
Male,Engineering,"Developer II",26
Male,Engineering,"Developer III",40
Male,Engineering,"Developer IV",32
Male,Engineering,"Electrical Engineer",11
Male,Engineering,"Engineer I",5
Male,Engineering,"Engineer II",5
Male,Engineering,"Engineer III",3
Male,Engineering,"Engineer IV",1
Male,Engineering,"Information Systems Manager",15
Male,Engineering,"Mechanical Systems Engineer",9
Male,Engineering,"Product Engineer",14
Male,Engineering,"Programmer Analyst I",34
Male,Engineering,"Programmer Analyst II",43
Male,Engineering,"Programmer Analyst III",41
Male,Engineering,"Programmer Analyst IV",34
Male,Engineering,"Programmer I",37
Male,Engineering,"Programmer II",39
Male,Engineering,"Programmer III",35
Male,Engineering,"Programmer IV",35
Male,Engineering,"Quality Control Specialist",12
Male,Engineering,"Quality Engineer",14
Male,Engineering,"Recruiting Manager",7
Male,Engineering,"Research Assistant I",12
Male,Engineering,"Research Assistant II",2
Male,Engineering,"Research Assistant III",2
Male,Engineering,"Research Assistant IV",3
Male,Engineering,"Research Associate",6
Male,Engineering,"Senior Developer",152
Male,Engineering,"Senior Financial Analyst",13
Male,Engineering,"Senior Quality Engineer",17
Male,Engineering,"Software Consultant",159
Male,Engineering,"Software Engineer I",168
Male,Engineering,"Software Engineer II",41
Male,Engineering,"Software Engineer III",47
Male,Engineering,"Software Engineer IV",39
Male,Engineering,"Software Test Engineer I",38
Male,Engineering,"Software Test Engineer II",36
Male,Engineering,"Software Test Engineer III",40
Male,Engineering,"Software Test Engineer IV",43
Male,Engineering,"Staff Scientist",10
Male,Engineering,"Statistician I",6
Male,Engineering,"Structural Analysis Engineer",11
Male,Engineering,"Structural Engineer",11
Male,Engineering,"Systems Administrator I",187
Male,Engineering,"Systems Administrator II",31
Male,Engineering,"Systems Administrator III",43
Male,Engineering,"Systems Administrator IV",46
Male,Engineering,"VP Quality Control",10
Male,Engineering,"Web Designer I",17
Male,Engineering,"Web Designer II",3
Male,Engineering,"Web Designer III",5
Male,Engineering,"Web Designer IV",4
Male,Engineering,"Web Developer I",42
Male,Engineering,"Web Developer II",32
Male,Engineering,"Web Developer III",33
Male,Engineering,"Web Developer IV",32
Male,"Human Resources","Compensation Analyst",14
Male,"Human Resources","HR Manager",98
Male,"Human Resources","Human Resources Analyst",194
Male,"Human Resources","Human Resources Analyst II",267
Male,"Human Resources","Human Resources Assistant I",10
Male,"Human Resources","Human Resources Assistant II",4
Male,"Human Resources","Human Resources Assistant III",6
Male,"Human Resources","Human Resources Assistant IV",5
Male,"Human Resources","Human Resources Manager",23
Male,"Human Resources",Recruiter,102
Male,"Human Resources","Senior Recruiter",86
Male,Legal,"Administrative Assistant",16
Male,Legal,Attorney,22
Male,Legal,"Executive Assistant",20
Male,Legal,"Legal Assistant",4
Male,Legal,Librarian,16
Male,Legal,Paralegal,25
Male,Legal,"Research Assistant",26
Male,Legal,"Senior Attorney",20
Male,Marketing,"Administrative Assistant II",1
Male,Marketing,Editor,41
Male,Marketing,"Graphic Designer",3
Male,Marketing,"Marketing Assistant",4
Male,Marketing,"Media Manager I",65
Male,Marketing,"Media Manager II",19
Male,Marketing,"Research Associate",1
Male,Marketing,"Senior Editor",67
Male,Marketing,"VP Marketing",25
Male,Marketing,"Web Designer I",3
Male,Marketing,"Web Designer III",2
Male,"Product Management","Assistant Manager",12
Male,"Product Management","Business Analyst",31
Male,"Product Management","Chief Design Engineer",10
Male,"Product Management","Design Engineer",13
Male,"Product Management","General Manager",12
Male,"Product Management","Product Engineer",12
Male,"Product Management","Project Manager",170
Male,"Product Management","Quality Control Specialist",10
Male,"Product Management","Quality Engineer",20
Male,"Product Management","Senior Quality Engineer",10
Male,"Product Management","VP Product Management",18
Male,"Research and Development","Administrative Assistant II",1
Male,"Research and Development","Administrative Assistant III",1
Male,"Research and Development","Assistant Manager",1
Male,"Research and Development","Assistant Professor",1
Male,"Research and Development","Chief Design Engineer",1
Male,"Research and Development","Design Engineer",1
Male,"Research and Development","Executive Secretary",1
Male,"Research and Development","Financial Analyst",1
Male,"Research and Development","Information Systems Manager",2
Male,"Research and Development","Office Assistant I",2
Male,"Research and Development","Office Assistant IV",1
Male,"Research and Development",Operator,78
Male,"Research and Development","Product Engineer",1
Male,"Research and Development","Quality Control Specialist",29
Male,"Research and Development","Quality Engineer",1
Male,"Research and Development","Research Assistant I",85
Male,"Research and Development","Research Associate",76
Male,"Research and Development","Senior Quality Engineer",44
Male,"Research and Development","Statistician II",1
Male,"Research and Development","Structural Analysis Engineer",11
Male,"Research and Development","Structural Engineer",123
Male,"Research and Development","VP Quality Control",9
Male,Sales,"Account Coordinator",2
Male,Sales,"Account Executive",207
Male,Sales,"Account Manager",95
Male,Sales,"Customer Success Manager",104
Male,Sales,"Director of Sales",3
Male,Sales,"Pre-Sales Consultant",104
Male,Sales,"Relationshiop Manager",104
Male,Sales,"Sales Associate",3
Male,Sales,"Sales Representative",3
Male,Sales,"Senior Sales Associate",9
Male,Sales,"Solutions Engineer",110
Male,Sales,"Solutions Engineer Manager",97
Male,Services,"General Manager",4
Male,Services,Operator,5
Male,Services,"Research Associate",7
Male,Services,"Service Coordinator",149
Male,Services,"Service Manager",150
Male,Services,"Service Tech",147
Male,Services,"Service Tech II",152
Male,Services,"Service Tech III",150
Male,Support,"Automation Specialist I",2
Male,Support,"Automation Specialist II",3
Male,Support,"Automation Specialist III",3
Male,Support,"Automation Specialist IV",1
Male,Support,"Community Outreach Specialist",8
Male,Support,"Desktop Support Technician",149
Male,Support,"Help Desk Operator",34
Male,Support,"Help Desk Technician",144
Male,Support,"Support Staff",28
Male,Support,"Support Staff II",28
Male,Support,"Support Staff III",12
Male,Training,"Administrative Assistant I",93
Male,Training,"Administrative Assistant II",14
Male,Training,"Assistant Trainer",86
Male,Training,"Chief Design Engineer",1
Male,Training,"Content Developer",32
Male,Training,"Content Developer II",25
Male,Training,"Content Developer III",24
Male,Training,"Junior Trainer",76
Male,Training,"Senior Trainer",90
Male,Training,"Support Staff",18
Male,Training,"Trainer I",66
Male,Training,"Trainer II",83
Male,Training,"Trainer III",89
Male,Training,"Training Manager",78
Non-Conforming,Accounting,"Accountant I",3
Non-Conforming,Accounting,"Accountant II",2
Non-Conforming,Accounting,"Accountant III",3
Non-Conforming,Accounting,"Accountant IV",3
Non-Conforming,Accounting,"Accounting Assistant I",3
Non-Conforming,Accounting,"Accounting Assistant II",2
Non-Conforming,Accounting,"Accounting Assistant III",2
Non-Conforming,Accounting,"Administrative Assistant I",1
Non-Conforming,Accounting,"Budget/Accounting Analyst I",2
Non-Conforming,Accounting,"Budget/Accounting Analyst II",3
Non-Conforming,Accounting,"Budget/Accounting Analyst III",5
Non-Conforming,Accounting,"Budget/Accounting Analyst IV",5
Non-Conforming,Accounting,"Cost Accountant",10
Non-Conforming,Accounting,"Financial Advisor",2
Non-Conforming,Accounting,"Financial Analyst",2
Non-Conforming,Accounting,"Senior Cost Accountant",9
Non-Conforming,Accounting,"Staff Accountant I",9
Non-Conforming,Accounting,"Staff Accountant II",4
Non-Conforming,Accounting,"Staff Accountant III",8
Non-Conforming,Accounting,"Staff Accountant IV",3
Non-Conforming,Accounting,"Tax Accountant",5
Non-Conforming,Accounting,"VP Accounting",1
Non-Conforming,"Business Development","Business Analyst",20
Non-Conforming,"Business Development","Research Assistant I",8
Non-Conforming,"Business Development","Research Assistant II",21
Non-Conforming,Engineering,"Administrative Assistant II",1
Non-Conforming,Engineering,"Administrative Officer",1
Non-Conforming,Engineering,"Analog Circuit Design manager",1
Non-Conforming,Engineering,"Analyst Programmer",11
Non-Conforming,Engineering,"Automation Specialist I",2
Non-Conforming,Engineering,"Automation Specialist II",1
Non-Conforming,Engineering,"Business Analyst",3
Non-Conforming,Engineering,"Business Systems Development Analyst",11
Non-Conforming,Engineering,"Chief Design Engineer",2
Non-Conforming,Engineering,"Computer Systems Analyst I",2
Non-Conforming,Engineering,"Computer Systems Analyst III",1
Non-Conforming,Engineering,"Computer Systems Analyst IV",1
Non-Conforming,Engineering,"Data Coordiator",12
Non-Conforming,Engineering,"Data Visualization Specialist",10
Non-Conforming,Engineering,"Database Administrator I",2
Non-Conforming,Engineering,"Database Administrator II",1
Non-Conforming,Engineering,"Database Administrator III",2
Non-Conforming,Engineering,"Database Administrator IV",2
Non-Conforming,Engineering,"Developer I",4
Non-Conforming,Engineering,"Developer II",6
Non-Conforming,Engineering,"Developer III",1
Non-Conforming,Engineering,"Electrical Engineer",1
Non-Conforming,Engineering,"Information Systems Manager",1
Non-Conforming,Engineering,"Mechanical Systems Engineer",1
Non-Conforming,Engineering,"Programmer Analyst I",4
Non-Conforming,Engineering,"Programmer Analyst II",1
Non-Conforming,Engineering,"Programmer Analyst IV",3
Non-Conforming,Engineering,"Programmer I",6
Non-Conforming,Engineering,"Programmer II",2
Non-Conforming,Engineering,"Programmer IV",1
Non-Conforming,Engineering,"Quality Control Specialist",1
Non-Conforming,Engineering,"Recruiting Manager",2
Non-Conforming,Engineering,"Research Assistant I",1
Non-Conforming,Engineering,"Research Assistant IV",1
Non-Conforming,Engineering,"Senior Developer",4
Non-Conforming,Engineering,"Senior Financial Analyst",1
Non-Conforming,Engineering,"Software Consultant",9
Non-Conforming,Engineering,"Software Engineer I",9
Non-Conforming,Engineering,"Software Engineer II",2
Non-Conforming,Engineering,"Software Engineer III",1
Non-Conforming,Engineering,"Software Engineer IV",1
Non-Conforming,Engineering,"Software Test Engineer I",2
Non-Conforming,Engineering,"Software Test Engineer II",3
Non-Conforming,Engineering,"Software Test Engineer III",1
Non-Conforming,Engineering,"Staff Scientist",2
Non-Conforming,Engineering,"Systems Administrator I",8
Non-Conforming,Engineering,"Systems Administrator II",2
Non-Conforming,Engineering,"Systems Administrator IV",4
Non-Conforming,Engineering,"Web Designer II",1
Non-Conforming,Engineering,"Web Developer I",4
Non-Conforming,Engineering,"Web Developer II",3
Non-Conforming,Engineering,"Web Developer III",1
Non-Conforming,"Human Resources","Compensation Analyst",1
Non-Conforming,"Human Resources","HR Manager",1
Non-Conforming,"Human Resources","Human Resources Analyst",7
Non-Conforming,"Human Resources","Human Resources Analyst II",11
Non-Conforming,"Human Resources","Human Resources Assistant III",1
Non-Conforming,"Human Resources","Human Resources Assistant IV",1
Non-Conforming,"Human Resources","Human Resources Manager",1
Non-Conforming,"Human Resources",Recruiter,5
Non-Conforming,"Human Resources","Senior Recruiter",6
Non-Conforming,Legal,"Administrative Assistant",1
Non-Conforming,Legal,Attorney,2
Non-Conforming,Legal,"Executive Assistant",1
Non-Conforming,Legal,"Legal Assistant",1
Non-Conforming,Legal,Librarian,1
Non-Conforming,Legal,Paralegal,1
Non-Conforming,Marketing,"Media Manager I",2
Non-Conforming,Marketing,"Media Manager II",2
Non-Conforming,Marketing,"Senior Editor",1
Non-Conforming,"Product Management","Project Manager",13
Non-Conforming,"Product Management","VP Product Management",1
Non-Conforming,"Research and Development","Assistant Manager",1
Non-Conforming,"Research and Development","General Manager",1
Non-Conforming,"Research and Development","Office Assistant II",1
Non-Conforming,"Research and Development",Operator,7
Non-Conforming,"Research and Development","Quality Control Specialist",2
Non-Conforming,"Research and Development","Research Assistant I",2
Non-Conforming,"Research and Development","Research Associate",4
Non-Conforming,"Research and Development","Senior Quality Engineer",1
Non-Conforming,"Research and Development","Structural Engineer",11
Non-Conforming,"Research and Development","VP Quality Control",1
Non-Conforming,Sales,"Account Executive",9
Non-Conforming,Sales,"Account Manager",5
Non-Conforming,Sales,"Customer Success Manager",6
Non-Conforming,Sales,"Director of Sales",1
Non-Conforming,Sales,"Pre-Sales Consultant",5
Non-Conforming,Sales,"Relationshiop Manager",4
Non-Conforming,Sales,"Solutions Engineer",7
Non-Conforming,Sales,"Solutions Engineer Manager",4
Non-Conforming,Sales,"VP Sales",1
Non-Conforming,Services,"Service Coordinator",3
Non-Conforming,Services,"Service Manager",4
Non-Conforming,Services,"Service Tech",9
Non-Conforming,Services,"Service Tech II",7
Non-Conforming,Services,"Service Tech III",5
Non-Conforming,Support,"Automation Specialist I",1
Non-Conforming,Support,"Automation Specialist III",1
Non-Conforming,Support,"Automation Specialist IV",1
Non-Conforming,Support,"Community Outreach Specialist",1
Non-Conforming,Support,"Desktop Support Technician",14
Non-Conforming,Support,"Help Desk Operator",2
Non-Conforming,Support,"Help Desk Technician",6
Non-Conforming,Support,"Support Staff",3
Non-Conforming,Support,"Support Staff II",2
Non-Conforming,Training,"Administrative Assistant I",2
Non-Conforming,Training,"Assistant Trainer",2
Non-Conforming,Training,"Content Developer II",5
Non-Conforming,Training,"Content Developer III",2
Non-Conforming,Training,"Junior Trainer",5
Non-Conforming,Training,"Senior Trainer",4
Non-Conforming,Training,"Support Staff",1
Non-Conforming,Training,"Trainer I",11
Non-Conforming,Training,"Trainer II",3
Non-Conforming,Training,"Trainer III",1
Non-Conforming,Training,"Training Manager",4
